tanggal,stasiun,pm10,pm25,so2,co,o3,no2,max,critical,categori
2021-01-01,DKI4 (Lubang Buaya),41,,37,14,35,4,41,PM10,BAIK
2021-01-01,DKI1 (Bunderan HI),38,53,29,6,31,13,53,PM25,SEDANG
2021-01-02,DKI1 (Bunderan HI),27,46,27,7,47,7,47,O3,BAIK
2021-01-03,DKI1 (Bunderan HI),44,58,25,7,40,13,58,PM25,SEDANG
2021-01-04,DKI1 (Bunderan HI),30,48,24,4,32,7,48,PM25,BAIK
2021-01-05,DKI1 (Bunderan HI),38,53,24,6,31,9,53,PM25,SEDANG
2021-01-06,DKI1 (Bunderan HI),41,58,23,13,46,13,58,PM25,SEDANG
2021-01-07,DKI1 (Bunderan HI),35,47,22,6,39,10,47,PM25,BAIK
2021-01-10,DKI1 (Bunderan HI),23,25,16,11,33,8,33,O3,BAIK
2021-01-11,DKI1 (Bunderan HI),38,54,17,14,27,10,54,PM25,SEDANG
2021-01-12,DKI1 (Bunderan HI),29,50,20,12,26,15,50,PM25,BAIK
2021-01-13,DKI1 (Bunderan HI),34,44,17,13,20,9,44,PM25,BAIK
2021-01-19,DKI1 (Bunderan HI),31,41,13,12,25,12,41,PM25,BAIK
2021-01-20,DKI1 (Bunderan HI),35,34,12,12,22,13,35,PM10,BAIK
2021-01-23,DKI1 (Bunderan HI),72,108,14,43,44,20,108,PM25,TIDAK SEHAT
2021-01-24,DKI1 (Bunderan HI),33,48,12,14,23,10,48,PM25,BAIK
2021-01-27,DKI1 (Bunderan HI),20,20,13,10,19,8,20,PM10,BAIK
2021-01-28,DKI1 (Bunderan HI),27,41,14,18,17,11,41,PM25,BAIK
2021-01-29,DKI1 (Bunderan HI),30,53,16,17,24,11,53,PM25,SEDANG
2021-01-30,DKI1 (Bunderan HI),27,37,13,16,24,12,37,PM25,BAIK
2021-01-04,DKI5 (Kebon Jeruk) Jakarta Barat,27,,14,7,31,4,31,CO,BAIK
2021-01-05,DKI5 (Kebon Jeruk) Jakarta Barat,41,,15,9,28,,41,PM10,BAIK
2021-01-06,DKI5 (Kebon Jeruk) Jakarta Barat,33,,12,19,46,,46,CO,BAIK
2021-01-07,DKI5 (Kebon Jeruk) Jakarta Barat,27,,13,11,36,,36,CO,BAIK
2021-01-08,DKI5 (Kebon Jeruk) Jakarta Barat,36,,18,19,28,,36,PM10,BAIK
2021-01-09,DKI5 (Kebon Jeruk) Jakarta Barat,46,,17,26,27,12,46,PM10,BAIK
2021-01-10,DKI5 (Kebon Jeruk) Jakarta Barat,19,,20,8,34,5,34,CO,BAIK
2021-01-11,DKI5 (Kebon Jeruk) Jakarta Barat,33,,21,10,34,9,34,CO,BAIK
2021-01-12,DKI5 (Kebon Jeruk) Jakarta Barat,25,,22,6,38,6,38,CO,BAIK
2021-01-13,DKI5 (Kebon Jeruk) Jakarta Barat,25,,20,5,27,9,27,CO,BAIK
2021-01-14,DKI5 (Kebon Jeruk) Jakarta Barat,32,,17,8,36,7,36,CO,BAIK
2021-01-15,DKI5 (Kebon Jeruk) Jakarta Barat,52,,15,15,41,7,52,PM10,SEDANG
2021-01-16,DKI5 (Kebon Jeruk) Jakarta Barat,,,18,12,37,8,37,CO,BAIK
2021-01-17,DKI5 (Kebon Jeruk) Jakarta Barat,,,20,15,32,9,32,CO,BAIK
2021-01-18,DKI5 (Kebon Jeruk) Jakarta Barat,,,22,8,31,4,31,CO,BAIK
2021-01-19,DKI5 (Kebon Jeruk) Jakarta Barat,29,,14,6,35,5,35,CO,BAIK
2021-01-20,DKI5 (Kebon Jeruk) Jakarta Barat,30,,15,7,33,,33,CO,BAIK
2021-01-21,DKI5 (Kebon Jeruk) Jakarta Barat,43,,16,15,37,8,43,PM10,BAIK
2021-01-22,DKI5 (Kebon Jeruk) Jakarta Barat,45,,21,13,40,15,45,PM10,BAIK
2021-01-23,DKI5 (Kebon Jeruk) Jakarta Barat,80,,22,44,44,22,80,PM10,SEDANG
2021-01-24,DKI5 (Kebon Jeruk) Jakarta Barat,27,,14,9,29,,29,CO,BAIK
2021-01-25,DKI5 (Kebon Jeruk) Jakarta Barat,55,,19,29,67,13,67,CO,SEDANG
2021-01-26,DKI5 (Kebon Jeruk) Jakarta Barat,57,,21,23,36,16,57,PM10,SEDANG
2021-01-27,DKI5 (Kebon Jeruk) Jakarta Barat,15,,16,5,20,,20,CO,BAIK
2021-01-28,DKI5 (Kebon Jeruk) Jakarta Barat,28,,19,11,28,,28,PM10,BAIK
2021-01-29,DKI5 (Kebon Jeruk) Jakarta Barat,30,,22,10,32,11,32,CO,BAIK
2021-01-30,DKI5 (Kebon Jeruk) Jakarta Barat,24,,17,8,27,10,27,CO,BAIK
2021-01-31,DKI5 (Kebon Jeruk) Jakarta Barat,41,,17,19,29,8,41,PM10,BAIK
2021-02-01,DKI1 (Bunderan HI),59,79,21,26,15,31,79,PM25,SEDANG
2021-02-02,DKI1 (Bunderan HI),30,46,21,14,16,24,46,PM25,BAIK
2021-02-03,DKI1 (Bunderan HI),23,33,19,11,14,19,33,PM25,BAIK
2021-02-04,DKI1 (Bunderan HI),36,53,23,14,12,24,53,PM25,SEDANG
2021-02-05,DKI1 (Bunderan HI),29,36,20,14,12,21,36,PM25,BAIK
2021-02-06,DKI1 (Bunderan HI),27,34,21,8,21,15,34,PM25,BAIK
2021-02-07,DKI1 (Bunderan HI),25,23,19,7,19,12,25,PM10,BAIK
2021-02-08,DKI1 (Bunderan HI),24,26,19,10,18,17,26,PM25,BAIK
2021-02-09,DKI1 (Bunderan HI),33,40,22,12,14,22,40,PM25,BAIK
2021-02-10,DKI1 (Bunderan HI),32,38,21,10,12,16,38,PM25,BAIK
2021-02-11,DKI1 (Bunderan HI),26,37,23,13,9,17,37,PM25,BAIK
2021-02-12,DKI1 (Bunderan HI),41,52,26,16,10,16,52,PM25,SEDANG
2021-02-13,DKI1 (Bunderan HI),25,37,20,9,19,16,37,PM25,BAIK
2021-02-14,DKI1 (Bunderan HI),33,47,18,11,19,19,47,PM25,BAIK
2021-02-15,DKI1 (Bunderan HI),34,47,20,13,17,25,47,PM25,BAIK
2021-02-16,DKI1 (Bunderan HI),26,28,18,11,18,26,28,PM25,BAIK
2021-02-17,DKI1 (Bunderan HI),39,57,23,23,12,33,57,PM25,SEDANG
2021-02-18,DKI1 (Bunderan HI),43,59,29,13,12,29,59,PM25,SEDANG
2021-02-19,DKI1 (Bunderan HI),29,41,19,20,12,23,41,PM25,BAIK
2021-02-20,DKI1 (Bunderan HI),30,38,18,11,18,20,38,PM25,BAIK
2021-02-21,DKI1 (Bunderan HI),31,45,18,10,16,17,45,PM25,BAIK
2021-02-22,DKI1 (Bunderan HI),51,67,20,18,11,23,67,PM25,SEDANG
2021-02-23,DKI1 (Bunderan HI),50,64,22,11,20,23,64,PM25,SEDANG
2021-02-24,DKI1 (Bunderan HI),30,42,22,10,9,16,42,PM25,BAIK
2021-02-25,DKI1 (Bunderan HI),31,48,26,12,14,17,48,PM25,BAIK
2021-02-26,DKI1 (Bunderan HI),29,38,18,13,18,20,38,PM25,BAIK
2021-02-02,DKI2 (Kelapa Gading),30,42,38,4,55,15,55,O3,SEDANG
2021-02-03,DKI2 (Kelapa Gading),24,35,38,4,42,15,42,O3,BAIK
2021-02-04,DKI2 (Kelapa Gading),33,50,39,7,47,15,50,PM25,BAIK
2021-02-05,DKI2 (Kelapa Gading),25,35,39,5,45,13,45,O3,BAIK
2021-02-06,DKI2 (Kelapa Gading),30,38,37,,57,9,57,O3,SEDANG
2021-02-07,DKI2 (Kelapa Gading),28,30,37,,57,5,57,O3,SEDANG
2021-02-08,DKI2 (Kelapa Gading),26,31,37,,54,12,54,O3,SEDANG
2021-02-09,DKI2 (Kelapa Gading),33,50,39,6,47,16,50,PM25,BAIK
2021-02-10,DKI2 (Kelapa Gading),34,46,39,4,49,10,49,O3,BAIK
2021-02-11,DKI2 (Kelapa Gading),33,49,43,6,35,11,49,PM25,BAIK
2021-02-12,DKI2 (Kelapa Gading),43,62,43,14,33,11,62,PM25,SEDANG
2021-02-13,DKI2 (Kelapa Gading),27,47,38,8,40,11,47,PM25,BAIK
2021-02-16,DKI2 (Kelapa Gading),28,41,38,11,42,15,42,O3,BAIK
2021-02-20,DKI2 (Kelapa Gading),31,34,38,8,53,9,53,O3,SEDANG
2021-02-21,DKI2 (Kelapa Gading),36,40,39,9,48,9,48,O3,BAIK
2021-02-22,DKI2 (Kelapa Gading),60,69,42,15,41,19,69,PM25,SEDANG
2021-02-23,DKI2 (Kelapa Gading),48,61,40,9,54,17,61,PM25,SEDANG
2021-02-24,DKI2 (Kelapa Gading),30,39,40,10,33,10,40,SO2,BAIK
2021-02-25,DKI2 (Kelapa Gading),30,45,43,12,45,12,45,PM25,BAIK
2021-02-26,DKI2 (Kelapa Gading),45,54,43,13,,19,54,PM25,SEDANG
2021-02-27,DKI2 (Kelapa Gading),59,71,44,15,50,20,71,PM25,SEDANG
2021-02-28,DKI2 (Kelapa Gading),66,76,40,14,60,18,76,PM25,SEDANG
2021-02-01,DKI3 (Jagakarsa),73,110,28,18,26,18,110,PM25,TIDAK SEHAT
2021-02-02,DKI3 (Jagakarsa),53,70,25,10,27,14,70,PM25,SEDANG
2021-02-07,DKI3 (Jagakarsa),33,50,24,9,30,13,50,PM25,BAIK
2021-02-08,DKI3 (Jagakarsa),26,42,24,9,35,12,42,PM25,BAIK
2021-02-21,DKI3 (Jagakarsa),29,42,24,7,30,9,42,PM25,BAIK
2021-02-22,DKI3 (Jagakarsa),68,103,26,22,30,14,103,PM25,TIDAK SEHAT
2021-02-23,DKI3 (Jagakarsa),66,90,26,12,29,16,90,PM25,SEDANG
2021-02-25,DKI3 (Jagakarsa),27,54,25,6,24,7,54,PM25,SEDANG
2021-02-05,DKI4 (Lubang Buaya),19,41,40,12,20,9,41,PM25,BAIK
2021-02-06,DKI4 (Lubang Buaya),18,48,40,7,28,6,48,PM25,BAIK
2021-02-07,DKI4 (Lubang Buaya),25,55,40,10,22,11,55,PM25,SEDANG
2021-02-08,DKI4 (Lubang Buaya),17,44,39,10,21,9,44,PM25,BAIK
2021-02-09,DKI4 (Lubang Buaya),31,57,40,13,19,9,57,PM25,SEDANG
2021-02-10,DKI4 (Lubang Buaya),30,58,40,13,20,8,58,PM25,SEDANG
2021-02-11,DKI4 (Lubang Buaya),21,50,40,7,16,5,50,PM25,BAIK
2021-02-12,DKI4 (Lubang Buaya),33,65,40,12,19,5,65,PM25,SEDANG
2021-02-13,DKI4 (Lubang Buaya),43,62,40,11,25,9,62,PM25,SEDANG
2021-02-14,DKI4 (Lubang Buaya),34,57,39,11,26,9,57,PM25,SEDANG
2021-02-21,DKI4 (Lubang Buaya),21,50,39,10,23,10,50,PM25,BAIK
2021-02-22,DKI4 (Lubang Buaya),59,95,40,21,25,12,95,PM25,SEDANG
2021-02-23,DKI4 (Lubang Buaya),51,83,40,16,24,11,83,PM25,SEDANG
2021-02-24,DKI4 (Lubang Buaya),42,61,39,9,13,6,61,PM25,SEDANG
2021-02-25,DKI4 (Lubang Buaya),16,45,39,9,19,4,45,PM25,BAIK
2021-02-26,DKI4 (Lubang Buaya),48,75,39,11,23,13,75,PM25,SEDANG
2021-02-27,DKI4 (Lubang Buaya),59,94,40,13,30,12,94,PM25,SEDANG
2021-02-28,DKI4 (Lubang Buaya),68,113,39,18,24,14,113,PM25,TIDAK SEHAT
2021-02-01,DKI5 (Kebon Jeruk) Jakarta Barat,70,126,29,26,15,34,126,PM25,TIDAK SEHAT
2021-02-02,DKI5 (Kebon Jeruk) Jakarta Barat,,55,28,9,14,25,55,PM25,SEDANG
2021-02-03,DKI5 (Kebon Jeruk) Jakarta Barat,23,40,27,5,16,10,40,PM25,BAIK
2021-02-04,DKI5 (Kebon Jeruk) Jakarta Barat,32,59,28,9,14,17,59,PM25,SEDANG
2021-02-05,DKI5 (Kebon Jeruk) Jakarta Barat,,48,28,8,14,35,48,PM25,BAIK
2021-02-06,DKI5 (Kebon Jeruk) Jakarta Barat,,34,21,4,24,6,34,PM25,BAIK
2021-02-07,DKI5 (Kebon Jeruk) Jakarta Barat,,29,22,5,20,7,29,PM25,BAIK
2021-02-08,DKI5 (Kebon Jeruk) Jakarta Barat,,41,23,6,17,11,41,PM25,BAIK
2021-02-09,DKI5 (Kebon Jeruk) Jakarta Barat,,57,31,9,15,21,57,PM25,SEDANG
2021-02-10,DKI5 (Kebon Jeruk) Jakarta Barat,31,52,27,7,13,11,52,PM25,SEDANG
2021-02-11,DKI5 (Kebon Jeruk) Jakarta Barat,23,50,36,6,10,13,50,PM25,BAIK
2021-02-12,DKI5 (Kebon Jeruk) Jakarta Barat,35,65,38,11,11,42,65,PM25,SEDANG
2021-02-16,DKI5 (Kebon Jeruk) Jakarta Barat,24,35,21,7,22,9,35,PM25,BAIK
2021-02-17,DKI5 (Kebon Jeruk) Jakarta Barat,44,71,33,25,14,37,71,PM25,SEDANG
2021-02-24,DKI5 (Kebon Jeruk) Jakarta Barat,24,40,28,4,11,7,40,PM25,BAIK
2021-02-25,DKI5 (Kebon Jeruk) Jakarta Barat,28,52,31,7,13,23,52,PM25,SEDANG
2021-02-26,DKI5 (Kebon Jeruk) Jakarta Barat,24,49,21,7,22,18,49,PM25,BAIK
2021-02-27,DKI5 (Kebon Jeruk) Jakarta Barat,39,64,27,10,25,24,64,PM25,SEDANG
2021-02-28,DKI5 (Kebon Jeruk) Jakarta Barat,50,77,22,9,22,13,77,PM25,SEDANG
2021-03-01,DKI1 (Bunderan HI),37,60,20,12,12,17,60,PM25,SEDANG
2021-03-02,DKI1 (Bunderan HI),38,55,20,15,14,28,55,PM25,SEDANG
2021-03-09,DKI1 (Bunderan HI),36,50,23,15,10,22,50,PM25,BAIK
2021-03-10,DKI1 (Bunderan HI),45,65,20,20,14,27,65,PM25,SEDANG
2021-03-11,DKI1 (Bunderan HI),27,35,19,9,15,21,35,PM25,BAIK
2021-03-18,DKI1 (Bunderan HI),64,102,30,15,25,40,102,PM25,TIDAK SEHAT
2021-03-24,DKI1 (Bunderan HI),32,53,21,10,9,15,53,PM25,SEDANG
2021-03-25,DKI1 (Bunderan HI),25,47,22,9,14,17,47,PM25,BAIK
2021-03-11,DKI2 (Kelapa Gading),38,50,26,9,43,9,50,PM25,BAIK
2021-03-17,DKI2 (Kelapa Gading),78,107,55,20,53,41,107,PM25,TIDAK SEHAT
2021-03-18,DKI2 (Kelapa Gading),78,115,43,14,74,23,115,PM25,TIDAK SEHAT
2021-03-08,DKI3 (Jagakarsa),53,77,28,11,18,10,77,PM25,SEDANG
2021-03-16,DKI3 (Jagakarsa),59,88,40,8,41,18,88,PM25,SEDANG
2021-03-17,DKI3 (Jagakarsa),71,106,32,11,39,19,106,PM25,TIDAK SEHAT
2021-03-18,DKI3 (Jagakarsa),61,99,35,7,42,18,99,PM25,SEDANG
2021-03-19,DKI3 (Jagakarsa),59,87,33,7,39,14,87,PM25,SEDANG
2021-03-20,DKI3 (Jagakarsa),65,106,31,12,45,17,106,PM25,TIDAK SEHAT
2021-03-21,DKI3 (Jagakarsa),81,118,27,15,37,16,118,PM25,TIDAK SEHAT
2021-03-22,DKI3 (Jagakarsa),62,93,26,15,36,10,93,PM25,SEDANG
2021-03-23,DKI3 (Jagakarsa),51,77,26,9,27,8,77,PM25,SEDANG
2021-03-04,DKI4 (Lubang Buaya),62,103,40,19,33,11,103,PM25,TIDAK SEHAT
2021-03-05,DKI4 (Lubang Buaya),51,79,40,14,32,13,79,PM25,SEDANG
2021-03-06,DKI4 (Lubang Buaya),61,95,40,22,32,13,95,PM25,SEDANG
2021-03-07,DKI4 (Lubang Buaya),60,102,41,23,34,14,102,PM25,TIDAK SEHAT
2021-03-16,DKI4 (Lubang Buaya),57,101,46,13,37,18,101,PM25,TIDAK SEHAT
2021-03-17,DKI4 (Lubang Buaya),68,123,43,20,37,14,123,PM25,TIDAK SEHAT
2021-03-18,DKI4 (Lubang Buaya),68,125,45,16,37,22,125,PM25,TIDAK SEHAT
2021-03-19,DKI4 (Lubang Buaya),57,91,42,12,42,15,91,PM25,SEDANG
2021-03-07,DKI5 (Kebon Jeruk) Jakarta Barat,59,103,30,18,22,26,103,PM25,TIDAK SEHAT
2021-03-11,DKI5 (Kebon Jeruk) Jakarta Barat,,41,20,5,22,8,41,PM25,BAIK
2021-03-17,DKI5 (Kebon Jeruk) Jakarta Barat,65,117,31,17,28,32,117,PM25,TIDAK SEHAT
2021-03-18,DKI5 (Kebon Jeruk) Jakarta Barat,62,107,40,11,34,17,107,PM25,TIDAK SEHAT
2021-04-01,DKI1 (Bunderan HI),26,42,22,11,13,19,42,PM25,BAIK
2021-04-02,DKI1 (Bunderan HI),41,54,27,11,17,19,54,PM25,SEDANG
2021-04-03,DKI1 (Bunderan HI),25,42,20,8,18,22,42,PM25,BAIK
2021-04-04,DKI1 (Bunderan HI),57,78,21,23,14,33,78,PM25,SEDANG
2021-04-07,DKI1 (Bunderan HI),30,47,25,11,13,19,47,PM25,BAIK
2021-04-17,DKI1 (Bunderan HI),65,101,24,19,19,41,101,PM25,TIDAK SEHAT
2021-04-30,DKI1 (Bunderan HI),61,84,23,18,20,42,84,PM25,SEDANG
2021-04-01,DKI2 (Kelapa Gading),22,38,28,9,43,10,43,O3,BAIK
2021-04-02,DKI2 (Kelapa Gading),39,57,34,11,42,13,57,PM25,SEDANG
2021-04-03,DKI2 (Kelapa Gading),23,51,33,9,57,10,57,O3,SEDANG
2021-04-07,DKI2 (Kelapa Gading),30,52,33,9,43,8,52,PM25,SEDANG
2021-04-19,DKI2 (Kelapa Gading),,107,52,,41,22,107,PM25,TIDAK SEHAT
2021-04-20,DKI2 (Kelapa Gading),64,94,52,,55,18,94,PM25,SEDANG
2021-04-21,DKI2 (Kelapa Gading),76,101,56,16,50,22,101,PM25,TIDAK SEHAT
2021-04-22,DKI2 (Kelapa Gading),63,92,52,11,60,14,92,PM25,SEDANG
2021-04-23,DKI2 (Kelapa Gading),75,101,51,15,65,20,101,PM25,TIDAK SEHAT
2021-04-24,DKI2 (Kelapa Gading),88,115,61,17,73,25,115,PM25,TIDAK SEHAT
2021-04-25,DKI2 (Kelapa Gading),74,101,55,15,58,20,101,PM25,TIDAK SEHAT
2021-04-26,DKI2 (Kelapa Gading),64,87,52,10,59,14,87,PM25,SEDANG
2021-04-04,DKI3 (Jagakarsa),68,103,29,28,,28,103,PM25,TIDAK SEHAT
2021-04-05,DKI3 (Jagakarsa),61,85,30,11,,17,85,PM25,SEDANG
2021-04-06,DKI3 (Jagakarsa),35,51,32,3,34,5,51,PM25,SEDANG
2021-04-07,DKI3 (Jagakarsa),25,35,27,3,,4,35,PM25,BAIK
2021-04-08,DKI3 (Jagakarsa),31,52,28,5,,7,52,PM25,SEDANG
2021-04-09,DKI3 (Jagakarsa),55,76,26,8,,10,76,PM25,SEDANG
2021-04-10,DKI3 (Jagakarsa),64,101,25,16,,18,101,PM25,TIDAK SEHAT
2021-04-11,DKI3 (Jagakarsa),62,89,25,14,,21,89,PM25,SEDANG
2021-04-12,DKI3 (Jagakarsa),,69,27,15,,16,69,PM25,SEDANG
2021-04-27,DKI3 (Jagakarsa),64,104,13,9,34,16,104,PM25,TIDAK SEHAT
2021-04-28,DKI3 (Jagakarsa),51,80,11,9,32,16,80,PM25,SEDANG
2021-04-29,DKI3 (Jagakarsa),39,23,10,12,26,17,39,PM10,BAIK
2021-04-30,DKI3 (Jagakarsa),54,23,12,10,,18,54,PM10,SEDANG
2021-04-01,DKI4 (Lubang Buaya),22,49,41,7,18,12,49,PM25,BAIK
2021-04-02,DKI4 (Lubang Buaya),37,62,44,11,18,12,62,PM25,SEDANG
2021-04-03,DKI4 (Lubang Buaya),39,67,42,9,22,14,67,PM25,SEDANG
2021-04-04,DKI4 (Lubang Buaya),64,103,43,26,23,20,103,PM25,TIDAK SEHAT
2021-04-05,DKI4 (Lubang Buaya),52,80,43,14,23,16,80,PM25,SEDANG
2021-04-06,DKI4 (Lubang Buaya),30,50,43,6,15,10,50,PM25,BAIK
2021-04-07,DKI4 (Lubang Buaya),22,38,42,5,16,8,42,SO2,BAIK
2021-04-11,DKI4 (Lubang Buaya),66,108,47,18,35,24,108,PM25,TIDAK SEHAT
2021-04-12,DKI4 (Lubang Buaya),57,92,43,18,27,17,92,PM25,SEDANG
2021-04-17,DKI4 (Lubang Buaya),63,109,43,20,27,19,109,PM25,TIDAK SEHAT
2021-04-18,DKI4 (Lubang Buaya),57,82,42,16,,16,82,PM25,SEDANG
2021-04-19,DKI4 (Lubang Buaya),58,94,46,12,,19,94,PM25,SEDANG
2021-04-20,DKI4 (Lubang Buaya),56,90,45,10,34,17,90,PM25,SEDANG
2021-04-21,DKI4 (Lubang Buaya),64,103,43,16,27,17,103,PM25,TIDAK SEHAT
2021-04-22,DKI4 (Lubang Buaya),60,99,45,10,34,17,99,PM25,SEDANG
2021-04-23,DKI4 (Lubang Buaya),67,112,19,13,31,24,112,PM25,TIDAK SEHAT
2021-04-24,DKI4 (Lubang Buaya),65,98,33,13,31,20,98,PM25,SEDANG
2021-04-25,DKI4 (Lubang Buaya),73,116,37,17,20,17,116,PM25,TIDAK SEHAT
2021-04-26,DKI4 (Lubang Buaya),64,117,37,11,22,14,117,PM25,TIDAK SEHAT
2021-04-27,DKI4 (Lubang Buaya),75,138,38,11,27,13,138,PM25,TIDAK SEHAT
2021-04-28,DKI4 (Lubang Buaya),55,94,37,9,28,17,94,PM25,SEDANG
2021-04-29,DKI4 (Lubang Buaya),51,78,37,12,23,19,78,PM25,SEDANG
2021-04-30,DKI4 (Lubang Buaya),57,85,36,,26,17,85,PM25,SEDANG
2021-04-01,DKI5 (Kebon Jeruk) Jakarta Barat,15,34,24,3,16,4,34,PM25,BAIK
2021-04-02,DKI5 (Kebon Jeruk) Jakarta Barat,35,58,38,7,19,16,58,PM25,SEDANG
2021-04-03,DKI5 (Kebon Jeruk) Jakarta Barat,21,47,20,6,22,12,47,PM25,BAIK
2021-04-04,DKI5 (Kebon Jeruk) Jakarta Barat,62,102,20,30,19,37,102,PM25,TIDAK SEHAT
2021-04-05,DKI5 (Kebon Jeruk) Jakarta Barat,47,76,24,12,22,28,76,PM25,SEDANG
2021-04-06,DKI5 (Kebon Jeruk) Jakarta Barat,30,54,31,4,18,6,54,PM25,SEDANG
2021-04-07,DKI5 (Kebon Jeruk) Jakarta Barat,25,42,30,4,17,6,42,PM25,BAIK
2021-04-08,DKI5 (Kebon Jeruk) Jakarta Barat,32,55,51,5,14,12,55,PM25,SEDANG
2021-04-09,DKI5 (Kebon Jeruk) Jakarta Barat,52,77,34,7,18,21,77,PM25,SEDANG
2021-04-17,DKI5 (Kebon Jeruk) Jakarta Barat,67,118,29,16,28,31,118,PM25,TIDAK SEHAT
2021-04-18,DKI5 (Kebon Jeruk) Jakarta Barat,55,93,29,11,32,16,93,PM25,SEDANG
2021-04-19,DKI5 (Kebon Jeruk) Jakarta Barat,62,108,32,13,32,19,108,PM25,TIDAK SEHAT
2021-04-20,DKI5 (Kebon Jeruk) Jakarta Barat,51,88,32,9,28,20,88,PM25,SEDANG
2021-04-21,DKI5 (Kebon Jeruk) Jakarta Barat,62,105,25,15,25,25,105,PM25,TIDAK SEHAT
2021-04-22,DKI5 (Kebon Jeruk) Jakarta Barat,56,96,26,9,39,17,96,PM25,SEDANG
2021-04-23,DKI5 (Kebon Jeruk) Jakarta Barat,66,111,26,12,33,22,111,PM25,TIDAK SEHAT
2021-04-24,DKI5 (Kebon Jeruk) Jakarta Barat,60,99,29,12,37,24,99,PM25,SEDANG
2021-05-13,DKI1 (Bunderan HI),70,110,24,14,24,20,110,PM25,TIDAK SEHAT
2021-05-14,DKI1 (Bunderan HI),52,72,24,8,25,14,72,PM25,SEDANG
2021-05-23,DKI1 (Bunderan HI),60,91,24,21,27,37,91,PM25,SEDANG
2021-05-24,DKI1 (Bunderan HI),74,108,22,20,23,38,108,PM25,TIDAK SEHAT
2021-05-13,DKI2 (Kelapa Gading),81,112,49,13,48,9,112,PM25,TIDAK SEHAT
2021-05-14,DKI2 (Kelapa Gading),56,70,51,9,52,,70,PM25,SEDANG
2021-05-15,DKI2 (Kelapa Gading),54,67,54,10,40,,67,PM25,SEDANG
2021-05-16,DKI2 (Kelapa Gading),52,,50,9,52,,52,PM10,SEDANG
2021-05-24,DKI2 (Kelapa Gading),86,116,74,19,72,30,116,PM25,TIDAK SEHAT
2021-05-25,DKI2 (Kelapa Gading),56,64,52,12,66,19,66,O3,SEDANG
2021-05-01,DKI3 (Jagakarsa),66,102,13,15,,20,102,PM25,TIDAK SEHAT
2021-05-02,DKI3 (Jagakarsa),55,77,13,13,,17,77,PM25,SEDANG
2021-05-03,DKI3 (Jagakarsa),55,83,12,9,25,16,83,PM25,SEDANG
2021-05-04,DKI3 (Jagakarsa),65,108,13,18,,19,108,PM25,TIDAK SEHAT
2021-05-05,DKI3 (Jagakarsa),61,102,23,13,35,20,102,PM25,TIDAK SEHAT
2021-05-06,DKI3 (Jagakarsa),39,66,20,9,60,15,66,PM25,SEDANG
2021-05-07,DKI3 (Jagakarsa),39,69,19,15,151,20,151,O3,TIDAK SEHAT
2021-05-08,DKI3 (Jagakarsa),50,76,20,8,71,15,76,PM25,SEDANG
